"","No.","Player","Pos","Ht","Wt","Birth Date","","Exp","College"
"1",24,"Kent Bazemore","SF","6-5",201,"July 1, 1989","us","4","Old Dominion University"
"2",95,"DeAndre' Bembry","SF","6-6",210,"July 4, 1994","us","R","Saint Joseph's University"
"3",13,"Jose Calderon","PG","6-3",200,"September 28, 1981","es","11",""
"4",5,"Malcolm Delaney","PG","6-3",190,"March 11, 1989","us","R","Virginia Polytechnic Institute and State University"
"5",34,"Mike Dunleavy","SF","6-9",230,"September 15, 1980","us","14","Duke University"
"6",10,"Tim Hardaway","SG","6-6",205,"March 16, 1992","us","3","University of Michigan"
"7",8,"Dwight Howard","C","6-11",265,"December 8, 1985","us","12",""
"8",43,"Kris Humphries","PF","6-9",235,"February 6, 1985","us","12","University of Minnesota"
"9",7,"Ersan Ilyasova","PF","6-10",235,"May 15, 1987","tr","8",""
"10",30,"Ryan Kelly","PF","6-11",230,"April 9, 1991","us","3","Duke University"
"11",26,"Kyle Korver","SG","6-7",212,"March 17, 1981","us","13","Creighton University"
"12",4,"Paul Millsap","PF","6-8",246,"February 10, 1985","us","10","Louisiana Tech University"
"13",31,"Mike Muscala","C","6-11",240,"July 1, 1991","us","3","Bucknell University"
"14",14,"Gary Neal","SG","6-4",210,"October 3, 1984","us","6","La Salle University, Towson University"
"15",13,"Lamar Patterson","SG","6-5",225,"August 12, 1991","us","1","University of Pittsburgh"
"16",17,"Dennis Schroder","PG","6-1",172,"September 15, 1993","de","3",""
"17",32,"Mike Scott","PF","6-8",237,"July 16, 1988","us","4","University of Virginia"
"18",25,"Thabo Sefolosha","SF","6-7",220,"May 2, 1984","ch","10",""
"19",22,"Edy Tavares","C","7-3",260,"March 22, 1992","cv","1",""
"20",12,"Taurean Waller-Prince","SF","6-8",220,"March 22, 1994","us","R","Baylor University"
