"","No.","Player","Pos","Ht","Wt","Birth Date","","Exp","College"
"1",3,"Bradley Beal","SG","6-5",207,"June 28, 1993","us","4","University of Florida"
"2",44,"Bojan Bogdanovic","SF","6-8",216,"April 18, 1989","ba","2",""
"3",33,"Trey Burke","PG","6-1",191,"November 12, 1992","us","3","University of Michigan"
"4",13,"Marcin Gortat","C","6-11",240,"February 17, 1984","pl","9",""
"5",4,"Danuel House","SG","6-7",207,"June 7, 1993","us","R","Texas A&M University"
"6",7,"Brandon Jennings","PG","6-1",170,"September 23, 1989","us","7",""
"7",9,"Sheldon Mac","SG","6-5",200,"December 21, 1992","us","R","University of Miami"
"8",28,"Ian Mahinmi","C","6-11",250,"November 5, 1986","fr","8",""
"9",1,"Chris McCullough","PF","6-11",200,"February 5, 1995","us","1","Syracuse University"
"10",5,"Markieff Morris","PF","6-10",245,"September 2, 1989","us","5","University of Kansas"
"11",44,"Andrew Nicholson","PF","6-9",250,"December 8, 1989","ca","4","St. Bonaventure University"
"12",32,"Daniel Ochefu","C","6-11",245,"December 15, 1993","us","R","Villanova University"
"13",12,"Kelly Oubre","SF","6-7",205,"December 9, 1995","us","1","University of Kansas"
"14",22,"Otto Porter","SF","6-8",198,"June 3, 1993","us","3","Georgetown University"
"15",31,"Tomas Satoransky","SG","6-7",210,"October 30, 1991","cz","R",""
"16",14,"Jason Smith","C","7-0",245,"March 2, 1986","us","8","Colorado State University"
"17",15,"Marcus Thornton","SG","6-4",205,"June 5, 1987","us","7","Louisiana State University"
"18",2,"John Wall","PG","6-4",195,"September 6, 1990","us","6","University of Kentucky"
